,precision,recall,f1-score,support
Normal,0.6767241379310345,0.9457831325301205,0.7889447236180904,166.0
Attack,0.0,0.0,0.0,75.0
accuracy,0.6514522821576764,0.6514522821576764,0.6514522821576764,0.6514522821576764
macro avg,0.33836206896551724,0.47289156626506024,0.3944723618090452,241.0
weighted avg,0.4661253398197167,0.6514522821576764,0.5434225067244938,241.0
