,bytes,pkts,duration,iat_mean,iat_std
bytes,1.0,0.9749897228411778,0.041263872685637956,-0.023016067236402347,-0.05550543389292314
pkts,0.9749897228411778,1.0,0.07214145606756944,-0.026996186913239423,-0.06855220451023365
duration,0.041263872685637956,0.07214145606756944,1.0,0.6517954002817262,0.683946248361425
iat_mean,-0.023016067236402347,-0.026996186913239423,0.6517954002817262,1.0,0.5789511060184902
iat_std,-0.05550543389292314,-0.06855220451023365,0.683946248361425,0.5789511060184902,1.0
