Feature,Normal_Mean,Attack_Mean,Diferença_%,P_Value,Effect_Size
bytes,21152.25358422939,2168.9864864864867,-89.745837350855,0.4145220272730489,-0.06927664724292602
pkts,25.191756272401435,6.945945945945946,-72.42770265463587,0.30540997615363713,-0.08701244262230211
duration,26.89849695905135,26.47835640649538,-1.561948064219229,0.9285245562473398,-0.007616334524873054
iat_mean,3.620162790304552,7.88854269706826,117.90574496249721,5.484744105668292e-06,0.385097523624887
iat_std,8.324877230900151,6.798982830512419,-18.329332169896038,0.28646440711365756,-0.12818099187054366
