method,precision,recall,f1_score,accuracy
majority,0.14184397163120568,0.13513513513513514,0.1384083044982699,0.8953781512605042
any,0.10619469026548672,0.32432432432432434,0.16,0.788235294117647
all,0.0,0.0,0.0,0.9378151260504202
weighted,0.14285714285714285,0.22972972972972974,0.17616580310880828,0.8663865546218488
autoencoder,0.12871287128712872,0.08783783783783784,0.10441767068273092,0.9063025210084034
isolation_forest,0.15151515151515152,0.2702702702702703,0.1941747572815534,0.8605042016806723
local_outlier_factor,0.06578947368421052,0.10135135135135136,0.0797872340425532,0.8546218487394958
