src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
192.168.15.1,192.168.15.2,DNS,53,49390,386,2,0.00017690658569335938,0.00017690658569335938,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:846::2003,QUIC,50601,443,4703,13,1.5806479454040527,0.1317206621170044,0.36599679548781455,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:836::2008,QUIC,39240,443,7793,66,0.528656005859375,0.008133169320913462,0.014648731254293093,0
192.168.15.2,3.174.83.11,TCP,54444,443,602,9,0.0833120346069336,0.0104140043258667,0.010848719015268722,0
192.168.15.2,3.174.83.11,TCP,54446,443,602,9,0.08319902420043945,0.010399878025054932,0.01084287701898971,0
3.174.83.11,192.168.15.2,TCP,443,54444,1778,5,0.06417989730834961,0.016044974327087402,0.010035320800679216,0
3.174.83.11,192.168.15.2,TCP,443,54446,1778,5,0.06417489051818848,0.01604372262954712,0.009831673300219598,0
192.168.15.2,3.174.83.11,TLS,54444,443,1501,4,0.04485487937927246,0.014951626459757486,0.012514916741907385,0
192.168.15.2,3.174.83.11,TLS,54446,443,1501,4,0.04468488693237305,0.014894962310791016,0.01313995815349889,0
3.174.83.11,192.168.15.2,TLS,443,54444,3496,5,0.025141000747680664,0.006285250186920166,0.011367314885959698,0
2800:3f0:4001:83b::200e,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,43895,6782,31,12.298969030380249,0.4099656343460083,1.3962062419851538,0
3.174.83.11,192.168.15.2,TLS,443,54446,3496,5,0.024742841720581055,0.006185710430145264,0.011376850844828125,0
2800:3f0:4001:836::2008,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,39240,333950,253,0.46420812606811523,0.0018420957383655367,0.006893691168191028,0
2800:3f0:4001:846::2003,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,50601,5013,14,1.5143630504608154,0.11648946542006272,0.3732038725388047,0
192.168.15.2,192.168.15.1,DNS,40919,53,150,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,40919,586,2,0.00021791458129882812,0.00021791458129882812,,0
192.168.15.2,192.168.15.1,DNS,57858,53,142,2,3.0994415283203125e-06,3.0994415283203125e-06,,0
192.168.15.2,192.168.15.1,DNS,40889,53,168,2,2.1457672119140625e-06,2.1457672119140625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,40889,212,2,0.00018787384033203125,0.00018787384033203125,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:843::2008,TCP,37294,443,696,8,110.41239905357361,15.77319986479623,26.981370948291833,0
2800:3f0:4001:843::2008,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,37294,2076,10,110.39575910568237,12.26619545618693,24.37191947511795,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:843::2008,TLS,37294,443,1563,7,110.3460340499878,18.391005674997967,28.552487207004294,0
2800:3f0:4001:843::2008,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,37294,4621,5,58.8823459148407,14.720586478710175,29.428523639587816,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4003:c08::9b,QUIC,50818,443,2120,3,0.1515650749206543,0.07578253746032715,0.0007714559151434044,0
