multiplier,threshold,precision,recall,f1_score,accuracy,fpr,specificity,tp,tn,fp,fn,pr_balance
0.3,0.3236997350167978,0.06170703575547866,0.722972972972973,0.11370882040382571,0.2991596638655462,0.7289426523297491,0.2710573476702509,107,605,1627,41,0.6612659372174944
0.35,0.37764969085293076,0.05318352059925094,0.4797297297297297,0.09575185434929198,0.4365546218487395,0.5663082437275986,0.4336917562724014,71,968,1264,77,0.4265462091304788
0.39999999999999997,0.4315996466890637,0.05629477993858751,0.3716216216216216,0.09777777777777778,0.5735294117647058,0.41308243727598565,0.5869175627240143,55,1310,922,93,0.3153268416830341
0.44999999999999996,0.4855496025251967,0.06594885598923284,0.3310810810810811,0.10998877665544332,0.6668067226890756,0.3109318996415771,0.6890681003584229,49,1538,694,99,0.26513222509184825
0.49999999999999994,0.5394995583613296,0.07984790874524715,0.28378378378378377,0.12462908011869436,0.7521008403361344,0.2168458781362007,0.7831541218637993,42,1748,484,106,0.2039358750385366
0.5499999999999999,0.5934495141974626,0.09803921568627451,0.2702702702702703,0.14388489208633093,0.8,0.16487455197132617,0.8351254480286738,40,1864,368,108,0.1722310545839958
0.5999999999999999,0.6473994700335954,0.11436950146627566,0.2635135135135135,0.15950920245398773,0.8273109243697478,0.13530465949820789,0.8646953405017921,39,1930,302,109,0.14914401204723782
0.6499999999999999,0.7013494258697285,0.12589928057553956,0.23648648648648649,0.1643192488262911,0.8504201680672269,0.10887096774193548,0.8911290322580645,35,1989,243,113,0.11058720591094692
0.7,0.7552993817058615,0.11914893617021277,0.1891891891891892,0.1462140992167102,0.8626050420168068,0.09274193548387097,0.907258064516129,28,2025,207,120,0.07004025301897643
0.7499999999999999,0.8092493375419944,0.11827956989247312,0.14864864864864866,0.1317365269461078,0.8781512605042017,0.07347670250896057,0.9265232974910395,22,2068,164,126,0.030369078756175533
0.7999999999999998,0.8631992933781273,0.14285714285714285,0.14864864864864866,0.1456953642384106,0.8915966386554622,0.05913978494623656,0.9408602150537635,22,2100,132,126,0.005791505791505808
0.8499999999999999,0.9171492492142603,0.145985401459854,0.13513513513513514,0.14035087719298245,0.8970588235294118,0.05241935483870968,0.9475806451612904,20,2115,117,128,0.01085026632471886
0.8999999999999999,0.9710992050503934,0.14049586776859505,0.11486486486486487,0.12639405204460966,0.9012605042016807,0.04659498207885305,0.953405017921147,17,2128,104,131,0.025631002903730174
0.95,1.0250491608865264,0.14912280701754385,0.11486486486486487,0.1297709923664122,0.9042016806722689,0.04345878136200717,0.9565412186379928,17,2135,97,131,0.03425794215267898
0.9999999999999998,1.0789991167226591,0.1588785046728972,0.11486486486486487,0.13333333333333333,0.9071428571428571,0.04032258064516129,0.9596774193548387,17,2142,90,131,0.044013639808032315
1.0499999999999998,1.132949072558792,0.16494845360824742,0.10810810810810811,0.1306122448979592,0.9105042016806723,0.036290322580645164,0.9637096774193549,16,2151,81,132,0.056840345500139305
1.0999999999999999,1.1868990283949252,0.17777777777777778,0.10810810810810811,0.13445378151260504,0.9134453781512605,0.033154121863799284,0.9668458781362007,16,2158,74,132,0.06966966966966967
1.15,1.2408489842310582,0.19047619047619047,0.10810810810810811,0.13793103448275862,0.9159663865546218,0.03046594982078853,0.9695340501792115,16,2164,68,132,0.08236808236808235
1.1999999999999997,1.2947989400671909,0.20253164556962025,0.10810810810810811,0.14096916299559473,0.9180672268907563,0.028225806451612902,0.9717741935483871,16,2169,63,132,0.09442353746151214
1.2499999999999998,1.348748895903324,0.19718309859154928,0.0945945945945946,0.1278538812785388,0.9197478991596638,0.025537634408602152,0.9744623655913979,14,2175,57,134,0.10258850399695468
1.2999999999999998,1.402698851739457,0.15625,0.06756756756756757,0.09433962264150944,0.9193277310924369,0.024193548387096774,0.9758064516129032,10,2178,54,138,0.08868243243243243
1.3499999999999999,1.45664880757559,0.15,0.060810810810810814,0.08653846153846154,0.9201680672268907,0.0228494623655914,0.9771505376344086,9,2181,51,139,0.08918918918918918
1.3999999999999997,1.5105987634117228,0.12962962962962962,0.0472972972972973,0.06930693069306931,0.9210084033613445,0.021057347670250897,0.9789426523297491,7,2185,47,141,0.08233233233233232
1.4499999999999997,1.5645487192478558,0.0425531914893617,0.013513513513513514,0.020512820512820513,0.9197478991596638,0.020161290322580645,0.9798387096774194,2,2187,45,146,0.029039677975848187
1.4999999999999998,1.6184986750839887,0.05263157894736842,0.013513513513513514,0.021505376344086023,0.9235294117647059,0.016129032258064516,0.9838709677419355,2,2196,36,146,0.039118065433854904
1.5499999999999998,1.6724486309201219,0.06060606060606061,0.013513513513513514,0.022099447513812154,0.9256302521008404,0.013888888888888888,0.9861111111111112,2,2201,31,146,0.047092547092547093
1.5999999999999999,1.7263985867562548,0.038461538461538464,0.006756756756756757,0.011494252873563218,0.9277310924369748,0.011200716845878136,0.9887992831541219,1,2207,25,147,0.03170478170478171
1.6499999999999997,1.7803485425923875,0.045454545454545456,0.006756756756756757,0.011764705882352941,0.9294117647058824,0.009408602150537635,0.9905913978494624,1,2211,21,147,0.0386977886977887
1.6999999999999997,1.8342984984285207,0.0625,0.006756756756756757,0.012195121951219513,0.9319327731092437,0.006720430107526882,0.9932795698924731,1,2217,15,147,0.05574324324324324
1.7499999999999998,1.8882484542646536,0.0,0.0,0.0,0.9327731092436975,0.005376344086021506,0.9946236559139785,0,2220,12,148,0.0
1.7999999999999996,1.9421984101007863,0.0,0.0,0.0,0.9336134453781513,0.004480286738351254,0.9955197132616488,0,2222,10,148,0.0
1.8499999999999996,1.9961483659369195,0.0,0.0,0.0,0.934453781512605,0.0035842293906810036,0.996415770609319,0,2224,8,148,0.0
1.8999999999999997,2.0500983217730524,0.0,0.0,0.0,0.9348739495798319,0.0031362007168458782,0.9968637992831542,0,2225,7,148,0.0
1.9499999999999997,2.1040482776091856,0.0,0.0,0.0,0.9348739495798319,0.0031362007168458782,0.9968637992831542,0,2225,7,148,0.0
1.9999999999999998,2.1579982334453183,0.0,0.0,0.0,0.9348739495798319,0.0031362007168458782,0.9968637992831542,0,2225,7,148,0.0
