method,precision,recall,f1_score,accuracy
majority,0.17391304347826086,0.13513513513513514,0.1520912547528517,0.9063025210084034
any,0.11041666666666666,0.3581081081081081,0.16878980891719744,0.780672268907563
all,0.25,0.006756756756756757,0.013157894736842105,0.9369747899159664
weighted,0.14285714285714285,0.22972972972972974,0.17616580310880828,0.8663865546218488
autoencoder,0.1588785046728972,0.11486486486486487,0.13333333333333333,0.9071428571428571
isolation_forest,0.125,0.21621621621621623,0.15841584158415842,0.8571428571428571
local_outlier_factor,0.1059322033898305,0.16891891891891891,0.13020833333333334,0.8596638655462185
