method,precision,recall,f1_score,accuracy
majority,0.13636363636363635,0.14189189189189189,0.1390728476821192,0.8907563025210085
any,0.10762331838565023,0.32432432432432434,0.16161616161616163,0.7907563025210084
all,0.0,0.0,0.0,0.934453781512605
weighted,0.14285714285714285,0.22972972972972974,0.17616580310880828,0.8663865546218488
autoencoder,0.1206896551724138,0.0945945945945946,0.10606060606060606,0.9008403361344538
isolation_forest,0.15151515151515152,0.2702702702702703,0.1941747572815534,0.8605042016806723
local_outlier_factor,0.06578947368421052,0.10135135135135136,0.0797872340425532,0.8546218487394958
