,precision,recall,f1-score,support
Normal,0.9407634927599825,0.9605734767025089,0.950565284859233,2232.0
Attack,0.12871287128712872,0.08783783783783784,0.10441767068273092,148.0
accuracy,0.9063025210084034,0.9063025210084034,0.9063025210084034,0.9063025210084034
macro avg,0.5347381820235556,0.5242056572701734,0.5274914777709819,2380.0
weighted avg,0.8902662272230151,0.9063025210084034,0.8979477021289296,2380.0
